"source_metabolite","target_metabolite","tom_weight","module"
"207_9988807","271_0784932",0.264075083565624,"MEturquoise"
"210_0507879","271_0784932",0.303591446067052,"MEturquoise"
"214_006924","271_0784932",0.362927947075343,"MEturquoise"
"216_015376","271_0784932",0.326483779094651,"MEturquoise"
"218_0220922","271_0784932",0.303087841159851,"MEturquoise"
"226_0459948","271_0784932",0.344887051645575,"MEturquoise"
"235_0576314","271_0784932",0.307145190738505,"MEturquoise"
"249_0965969","271_0784932",0.29137408436442,"MEturquoise"
"250_0999527","271_0784932",0.291991814731744,"MEturquoise"
"260_027772","271_0784932",0.313101174020021,"MEturquoise"
"269_0802017","271_0784932",0.375946143805925,"MEturquoise"
"179_062647","272_0816753",0.257513891835867,"MEturquoise"
"180_9045548","272_0816753",0.261094994756815,"MEturquoise"
"191_0408271","272_0816753",0.30459390547013,"MEturquoise"
"214_006924","272_0816753",0.321054300573357,"MEturquoise"
"216_015376","272_0816753",0.253257141142343,"MEturquoise"
"249_0965969","272_0816753",0.268455610556415,"MEturquoise"
"250_0999527","272_0816753",0.258948462369074,"MEturquoise"
"269_0802017","272_0816753",0.256300416176267,"MEturquoise"
"271_0784932","272_0816753",0.331554874211019,"MEturquoise"
"111_0897684","279_0643893",0.275095609991666,"MEturquoise"
"180_9045548","279_0643893",0.278488888704065,"MEturquoise"
"191_0408271","279_0643893",0.339510123220108,"MEturquoise"
"214_006924","279_0643893",0.361682892569368,"MEturquoise"
"216_015376","279_0643893",0.277356342320009,"MEturquoise"
"218_0220922","279_0643893",0.255025197854602,"MEturquoise"
"269_0802017","279_0643893",0.359746639014918,"MEturquoise"
"271_0784932","279_0643893",0.36848349070552,"MEturquoise"
"180_9045548","281_0800824",0.279589946592351,"MEturquoise"
"191_0408271","281_0800824",0.341541054036438,"MEturquoise"
"214_006924","281_0800824",0.363409664458965,"MEturquoise"
"216_015376","281_0800824",0.278834688910276,"MEturquoise"
"260_027772","281_0800824",0.253809016846464,"MEturquoise"
"269_0802017","281_0800824",0.376684685469099,"MEturquoise"
"271_0784932","281_0800824",0.369044776450829,"MEturquoise"
"279_0643893","281_0800824",0.410422211327912,"MEturquoise"
"180_9045548","282_083494",0.279042630862368,"MEturquoise"
"191_0408271","282_083494",0.340500771853306,"MEturquoise"
"214_006924","282_083494",0.362348341723053,"MEturquoise"
"216_015376","282_083494",0.277790257775359,"MEturquoise"
"260_027772","282_083494",0.25348110350058,"MEturquoise"
"269_0802017","282_083494",0.375082458092728,"MEturquoise"
"271_0784932","282_083494",0.36793027749655,"MEturquoise"
"279_0643893","282_083494",0.408462270015331,"MEturquoise"
